epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,33.1115,0.64086,1.49878,1.19099,1.04637,0.02172,1,0.78276,0.70362,0.01796,0.5,0.29772,0.25007,0.48502,0.75366,2.5746,0.94081,0.000409022,0.000409022,0.000409022
44,33.798,0.6761,1.14077,1.25398,1.07577,0.02172,1,0.78276,0.70362,0.01796,0.5,0.29772,0.25007,0.48502,0.75366,2.5746,0.94081,0.000411664,0.000411664,0.000411664
45,34.5059,0.70427,1.04638,1.30146,1.0911,0.02144,1,0.75636,0.67981,0.01684,0.47917,0.27233,0.23444,0.52941,1.03777,2.52258,0.96951,0.000413976,0.000413976,0.000413976
46,35.2007,0.61374,0.87309,1.1155,1.03536,0.02144,1,0.75636,0.67981,0.01684,0.47917,0.27233,0.23444,0.52941,1.03777,2.52258,0.96951,0.000415958,0.000415958,0.000415958
47,35.9074,0.67894,1.06968,1.19626,1.1148,0.02508,1,0.76449,0.71262,0.02031,0.47917,0.26622,0.24432,0.47933,0.93904,2.47642,0.9634,0.00041761,0.00041761,0.00041761
48,36.5882,0.55909,0.84405,1.10057,1.02864,0.02508,1,0.76449,0.71262,0.02031,0.47917,0.26622,0.24432,0.47933,0.93904,2.47642,0.9634,0.000418932,0.000418932,0.000418932
49,37.3485,0.62905,1.06463,1.15888,1.02176,0.76723,0.77083,0.80905,0.7844,0.36522,0.27083,0.31155,0.27998,0.446,0.64864,2.4128,0.94469,0.000419924,0.000419924,0.000419924
50,38.1728,0.63436,1.22087,1.17347,1.0174,0.76723,0.77083,0.80905,0.7844,0.36522,0.27083,0.31155,0.27998,0.446,0.64864,2.4128,0.94469,0.000420586,0.000420586,0.000420586
51,39.0451,0.7248,1.27326,1.18199,1.06907,1,0.37434,0.82081,0.74475,0.5,0.1902,0.30545,0.27302,0.47975,0.82134,2.36397,0.94899,0.000420918,0.000420918,0.000420918
52,39.7997,0.57085,0.79761,0.9936,1.00753,1,0.37434,0.82081,0.74475,0.5,0.1902,0.30545,0.27302,0.47975,0.82134,2.36397,0.94899,0.000420919,0.000420919,0.000420919
53,40.5648,0.68462,1.73112,1.08965,1.08402,1,0.37434,0.82081,0.74475,0.5,0.1902,0.30545,0.27302,0.47975,0.82134,2.36397,0.94899,0.000420591,0.000420591,0.000420591
54,41.2917,0.63456,1.28698,0.96433,1.05544,1,0.1728,0.81003,0.74722,1,0.16874,0.29325,0.25474,0.47601,1.42213,2.29379,0.94801,0.000419932,0.000419932,0.000419932
55,41.9888,0.64908,1.21008,1.09509,1.02173,1,0.1728,0.81003,0.74722,1,0.16874,0.29325,0.25474,0.47601,1.42213,2.29379,0.94801,0.000418944,0.000418944,0.000418944
56,42.7177,0.61786,1.14609,1.04893,1.01989,1,0.1728,0.81003,0.74722,1,0.16874,0.29325,0.25474,0.47601,1.42213,2.29379,0.94801,0.000417625,0.000417625,0.000417625
57,43.5273,0.62919,1.13984,0.99285,1.08334,0.99567,0.38613,0.83248,0.76216,0.49567,0.25,0.33583,0.29061,0.46837,1.24249,2.21509,0.94125,0.000415977,0.000415977,0.000415977
58,44.3018,0.61699,1.14976,0.95948,1.0386,0.99567,0.38613,0.83248,0.76216,0.49567,0.25,0.33583,0.29061,0.46837,1.24249,2.21509,0.94125,0.000413998,0.000413998,0.000413998
59,44.9809,0.71681,1.30965,0.98678,1.08637,0.99567,0.38613,0.83248,0.76216,0.49567,0.25,0.33583,0.29061,0.46837,1.24249,2.21509,0.94125,0.000411689,0.000411689,0.000411689
60,45.7112,0.60337,0.83218,0.9253,1.02724,0.98944,0.70033,0.84817,0.80069,0.49015,0.25,0.36394,0.30196,0.4697,1.00083,2.14752,0.92842,0.00040905,0.00040905,0.00040905
61,46.4765,0.55466,1.14775,0.95607,1.00533,0.98944,0.70033,0.84817,0.80069,0.49015,0.25,0.36394,0.30196,0.4697,1.00083,2.14752,0.92842,0.000406081,0.000406081,0.000406081
62,47.2221,0.62297,1.07778,0.90608,1.07524,0.98944,0.70033,0.84817,0.80069,0.49015,0.25,0.36394,0.30196,0.4697,1.00083,2.14752,0.92842,0.000402782,0.000402782,0.000402782
63,48.0039,0.57039,1.02505,1.00331,0.95999,0.96545,0.76098,0.93195,0.87222,0.5,0.26045,0.44077,0.37446,0.47234,0.7763,2.02468,0.92,0.000399153,0.000399153,0.000399153
64,48.758,0.64303,1.21121,0.9744,1.07007,0.96545,0.76098,0.93195,0.87222,0.5,0.26045,0.44077,0.37446,0.47234,0.7763,2.02468,0.92,0.000395194,0.000395194,0.000395194
65,49.4954,0.64524,0.73429,0.98686,1.12018,0.96545,0.76098,0.93195,0.87222,0.5,0.26045,0.44077,0.37446,0.47234,0.7763,2.02468,0.92,0.000390905,0.000390905,0.000390905
66,50.2661,0.63436,1.2257,0.95695,1.05029,0.95508,0.76608,0.95602,0.90715,0.5,0.26632,0.45852,0.411,0.45074,0.6533,1.86392,0.89338,0.000386286,0.000386286,0.000386286
67,51.0002,0.65365,1.23433,0.9417,1.09776,0.95508,0.76608,0.95602,0.90715,0.5,0.26632,0.45852,0.411,0.45074,0.6533,1.86392,0.89338,0.000381336,0.000381336,0.000381336
68,51.734,0.57964,1.18292,0.90585,1.05518,0.95508,0.76608,0.95602,0.90715,0.5,0.26632,0.45852,0.411,0.45074,0.6533,1.86392,0.89338,0.000376057,0.000376057,0.000376057
69,52.5033,0.60867,1.19733,0.90427,1.05893,0.94829,0.78342,0.95658,0.92749,0.5,0.29033,0.465,0.41601,0.43706,0.64502,1.759,0.90509,0.000370447,0.000370447,0.000370447
70,53.2292,0.55485,0.86635,0.88033,0.98412,0.94829,0.78342,0.95658,0.92749,0.5,0.29033,0.465,0.41601,0.43706,0.64502,1.759,0.90509,0.000364508,0.000364508,0.000364508
71,53.964,0.60767,1.43809,0.90534,1.01575,0.94829,0.78342,0.95658,0.92749,0.5,0.29033,0.465,0.41601,0.43706,0.64502,1.759,0.90509,0.000358238,0.000358238,0.000358238
72,54.7318,0.51725,0.86049,0.88107,0.96355,0.93875,0.84164,0.97747,0.93039,0.5,0.3435,0.48178,0.41549,0.45428,0.73588,1.65911,0.90789,0.000351639,0.000351639,0.000351639
