epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,30.8851,0.69109,1.213,1.26948,1.08998,0.18269,0.83333,0.81186,0.71784,0.12001,0.27083,0.28396,0.24686,0.60037,0.93117,2.56602,1.02466,0.000566458,0.000566458,0.000566458
41,31.6509,0.68294,1.15086,1.23489,1.05382,1,0.08342,0.80975,0.71049,1,0.0754,0.30626,0.26572,0.60123,0.79564,2.51049,1.02646,0.000578782,0.000578782,0.000578782
42,32.3684,0.65024,1.23736,1.13318,1.082,1,0.08342,0.80975,0.71049,1,0.0754,0.30626,0.26572,0.60123,0.79564,2.51049,1.02646,0.000590997,0.000590997,0.000590997
43,33.1076,0.70748,1.61046,1.08314,1.09155,1,0.13467,0.81652,0.72184,1,0.13467,0.31857,0.26611,0.56113,0.83627,2.46781,1.01077,0.000603101,0.000603101,0.000603101
44,33.8303,0.74958,1.16792,1.17005,1.10115,1,0.13467,0.81652,0.72184,1,0.13467,0.31857,0.26611,0.56113,0.83627,2.46781,1.01077,0.000615095,0.000615095,0.000615095
45,34.5742,0.73258,1.07742,1.17761,1.10924,1,0.18596,0.80541,0.66182,1,0.18383,0.3055,0.25593,0.57136,1.3682,2.3677,1.02718,0.000626979,0.000626979,0.000626979
46,35.2786,0.62829,0.84412,1.02092,1.0683,1,0.18596,0.80541,0.66182,1,0.18383,0.3055,0.25593,0.57136,1.3682,2.3677,1.02718,0.000638753,0.000638753,0.000638753
47,36.0301,0.68546,1.07797,1.06238,1.11901,1,0.22758,0.82775,0.73017,1,0.22638,0.3089,0.26534,0.60935,1.50864,2.22603,1.09263,0.000650417,0.000650417,0.000650417
48,36.7634,0.59915,0.84809,1.0003,1.04904,1,0.22758,0.82775,0.73017,1,0.22638,0.3089,0.26534,0.60935,1.50864,2.22603,1.09263,0.000661971,0.000661971,0.000661971
49,37.7013,0.6715,1.09477,1.02313,1.03426,0.92657,0.25,0.89871,0.80742,0.92728,0.25,0.40121,0.30802,0.63392,1.64097,2.10357,1.10397,0.000673415,0.000673415,0.000673415
50,38.5843,0.73435,1.19339,1.05845,1.05398,0.92657,0.25,0.89871,0.80742,0.92728,0.25,0.40121,0.30802,0.63392,1.64097,2.10357,1.10397,0.000684749,0.000684749,0.000684749
51,39.4179,0.76416,1.29777,1.0809,1.07452,0.94069,0.5844,0.92411,0.82526,0.44457,0.25,0.40192,0.27394,0.60614,2.43316,1.97682,1.04787,0.000695973,0.000695973,0.000695973
52,40.1624,0.62552,0.89054,0.94344,1.05494,0.94069,0.5844,0.92411,0.82526,0.44457,0.25,0.40192,0.27394,0.60614,2.43316,1.97682,1.04787,0.000707086,0.000707086,0.000707086
53,40.8872,0.67384,1.78786,1.00904,1.07047,0.94069,0.5844,0.92411,0.82526,0.44457,0.25,0.40192,0.27394,0.60614,2.43316,1.97682,1.04787,0.00071809,0.00071809,0.00071809
54,41.6741,0.69609,1.32953,0.94964,1.09391,0.96691,0.60193,0.89747,0.84085,0.98334,0.25,0.33035,0.27756,0.56249,2.20963,1.92387,0.99317,0.000728984,0.000728984,0.000728984
55,42.3938,0.70197,1.21994,1.00109,1.03458,0.96691,0.60193,0.89747,0.84085,0.98334,0.25,0.33035,0.27756,0.56249,2.20963,1.92387,0.99317,0.000739768,0.000739768,0.000739768
56,43.1534,0.69883,1.09141,0.95881,1.04717,0.96691,0.60193,0.89747,0.84085,0.98334,0.25,0.33035,0.27756,0.56249,2.20963,1.92387,0.99317,0.000750442,0.000750442,0.000750442
57,43.8976,0.69597,1.04412,0.94721,1.12157,0.9616,0.55617,0.90463,0.77681,0.98799,0.25,0.35341,0.26446,0.63895,1.77073,1.8696,1.00867,0.000761006,0.000761006,0.000761006
58,44.6644,0.61645,1.14024,0.87825,1.03321,0.9616,0.55617,0.90463,0.77681,0.98799,0.25,0.35341,0.26446,0.63895,1.77073,1.8696,1.00867,0.000771459,0.000771459,0.000771459
59,45.532,0.698,1.27227,0.89635,1.07048,0.9616,0.55617,0.90463,0.77681,0.98799,0.25,0.35341,0.26446,0.63895,1.77073,1.8696,1.00867,0.000781803,0.000781803,0.000781803
60,46.3467,0.63272,0.88363,0.86267,1.02821,0.886,0.75,0.92686,0.82142,0.40539,0.25,0.40401,0.27485,0.6388,1.46752,1.74309,1.04911,0.000792037,0.000792037,0.000792037
61,47.1043,0.60086,1.18528,0.85293,1.01771,0.886,0.75,0.92686,0.82142,0.40539,0.25,0.40401,0.27485,0.6388,1.46752,1.74309,1.04911,0.00080216,0.00080216,0.00080216
62,47.8576,0.59666,1.10461,0.79624,1.04987,0.886,0.75,0.92686,0.82142,0.40539,0.25,0.40401,0.27485,0.6388,1.46752,1.74309,1.04911,0.000812174,0.000812174,0.000812174
63,48.6375,0.62003,1.04839,0.90899,0.96865,0.95457,0.91088,0.966,0.88158,0.49583,0.41667,0.46906,0.32546,0.58913,1.14111,1.49367,0.97378,0.000822078,0.000822078,0.000822078
64,49.4255,0.64904,1.3656,0.84258,1.04964,0.95457,0.91088,0.966,0.88158,0.49583,0.41667,0.46906,0.32546,0.58913,1.14111,1.49367,0.97378,0.000831871,0.000831871,0.000831871
65,50.2199,0.66059,0.759,0.88702,1.10066,0.95457,0.91088,0.966,0.88158,0.49583,0.41667,0.46906,0.32546,0.58913,1.14111,1.49367,0.97378,0.000841555,0.000841555,0.000841555
66,51.0466,0.69796,1.24885,0.83159,1.05994,0.92897,0.91405,0.97176,0.91075,0.5,0.41798,0.47426,0.36159,0.539,0.96193,1.42761,0.93894,0.000851129,0.000851129,0.000851129
67,51.8287,0.66135,1.1905,0.87212,1.08188,0.92897,0.91405,0.97176,0.91075,0.5,0.41798,0.47426,0.36159,0.539,0.96193,1.42761,0.93894,0.000860592,0.000860592,0.000860592
68,52.6259,0.61257,1.1893,0.8193,1.05219,0.92897,0.91405,0.97176,0.91075,0.5,0.41798,0.47426,0.36159,0.539,0.96193,1.42761,0.93894,0.000869946,0.000869946,0.000869946
69,53.4597,0.60269,1.22365,0.81796,1.0452,0.91926,0.83047,0.96649,0.91648,0.5,0.38357,0.46899,0.34268,0.48518,1.1361,1.44488,0.92033,0.000879189,0.000879189,0.000879189
70,54.179,0.60295,0.90238,0.78805,0.97701,0.91926,0.83047,0.96649,0.91648,0.5,0.38357,0.46899,0.34268,0.48518,1.1361,1.44488,0.92033,0.000888323,0.000888323,0.000888323
71,54.9359,0.65074,1.38642,0.81868,1.00195,0.91926,0.83047,0.96649,0.91648,0.5,0.38357,0.46899,0.34268,0.48518,1.1361,1.44488,0.92033,0.000897346,0.000897346,0.000897346
72,55.7169,0.57445,0.8495,0.78,0.95575,0.8987,0.85417,0.9749,0.89001,0.47634,0.35417,0.4774,0.33684,0.52332,1.12084,1.37729,0.97058,0.00090626,0.00090626,0.00090626
73,56.4577,0.57188,0.86308,0.74918,0.98639,0.8987,0.85417,0.9749,0.89001,0.47634,0.35417,0.4774,0.33684,0.52332,1.12084,1.37729,0.97058,0.000915063,0.000915063,0.000915063
74,57.2285,0.70306,0.85061,0.91759,1.09729,0.8987,0.85417,0.9749,0.89001,0.47634,0.35417,0.4774,0.33684,0.52332,1.12084,1.37729,0.97058,0.000923756,0.000923756,0.000923756
75,57.9994,0.64292,1.21504,0.83675,1.02026,0.91254,0.85761,0.98586,0.906,0.5,0.36216,0.48836,0.3789,0.51541,0.84435,1.34408,0.97146,0.00093234,0.00093234,0.00093234
76,58.8269,0.5866,0.89699,0.78543,1.00862,0.91254,0.85761,0.98586,0.906,0.5,0.36216,0.48836,0.3789,0.51541,0.84435,1.34408,0.97146,0.000940813,0.000940813,0.000940813
77,59.6417,0.5832,1.03138,0.76687,1.00455,0.91254,0.85761,0.98586,0.906,0.5,0.36216,0.48836,0.3789,0.51541,0.84435,1.34408,0.97146,0.000949176,0.000949176,0.000949176
78,60.4756,0.60709,0.88303,0.79418,1.01835,0.92119,0.93536,0.99214,0.90252,0.5,0.45583,0.49464,0.38377,0.50774,0.80107,1.17597,0.96579,0.00095743,0.00095743,0.00095743
79,61.2738,0.51601,0.67743,0.72243,1.00206,0.92119,0.93536,0.99214,0.90252,0.5,0.45583,0.49464,0.38377,0.50774,0.80107,1.17597,0.96579,0.000965573,0.000965573,0.000965573
80,62.0604,0.53641,1.09992,0.69835,0.98508,0.92119,0.93536,0.99214,0.90252,0.5,0.45583,0.49464,0.38377,0.50774,0.80107,1.17597,0.96579,0.000973606,0.000973606,0.000973606
81,62.9084,0.56181,0.86209,0.72945,0.98706,0.76254,0.92727,0.93571,0.82284,0.45884,0.4375,0.48821,0.37291,0.57025,0.98313,1.06162,0.99974,0.00098153,0.00098153,0.00098153
82,63.6518,0.53976,0.8233,0.7319,0.99343,0.76254,0.92727,0.93571,0.82284,0.45884,0.4375,0.48821,0.37291,0.57025,0.98313,1.06162,0.99974,0.000989343,0.000989343,0.000989343
83,64.5028,0.58894,0.76974,0.75785,1.03265,0.76254,0.92727,0.93571,0.82284,0.45884,0.4375,0.48821,0.37291,0.57025,0.98313,1.06162,0.99974,0.000997046,0.000997046,0.000997046
84,65.2624,0.58499,0.84075,0.72174,0.98095,0.97234,0.79033,0.99105,0.77014,0.43939,0.4375,0.47091,0.36097,0.59226,1.29032,1.04104,1.05416,0.00100464,0.00100464,0.00100464
85,66.0062,0.5295,0.72142,0.68265,0.9481,0.97234,0.79033,0.99105,0.77014,0.43939,0.4375,0.47091,0.36097,0.59226,1.29032,1.04104,1.05416,0.00101212,0.00101212,0.00101212
86,66.7264,0.59935,1.47201,0.73079,0.97837,0.97234,0.79033,0.99105,0.77014,0.43939,0.4375,0.47091,0.36097,0.59226,1.29032,1.04104,1.05416,0.0010195,0.0010195,0.0010195
87,67.4922,0.49496,0.79547,0.66955,0.94855,0.97234,0.79033,0.99105,0.77014,0.43939,0.4375,0.47091,0.36097,0.59226,1.29032,1.04104,1.05416,0.00102676,0.00102676,0.00102676
88,68.2678,0.55845,0.76567,0.71207,0.95461,0.90567,0.86686,0.9843,0.75899,0.46644,0.45833,0.4868,0.39496,0.57423,0.79193,0.94919,1.03206,0.00103391,0.00103391,0.00103391
89,69.0013,0.51864,0.67654,0.70879,0.93048,0.90567,0.86686,0.9843,0.75899,0.46644,0.45833,0.4868,0.39496,0.57423,0.79193,0.94919,1.03206,0.00104095,0.00104095,0.00104095
90,69.7276,0.58757,0.82962,0.72414,0.96645,0.90567,0.86686,0.9843,0.75899,0.46644,0.45833,0.4868,0.39496,0.57423,0.79193,0.94919,1.03206,0.00104789,0.00104789,0.00104789
91,70.4557,0.54407,0.73226,0.71192,0.98569,0.90567,0.86686,0.9843,0.75899,0.46644,0.45833,0.4868,0.39496,0.57423,0.79193,0.94919,1.03206,0.00105471,0.00105471,0.00105471
92,71.2599,0.58059,0.80417,0.79002,0.99829,0.90259,0.90427,0.97515,0.83673,0.49538,0.41667,0.47765,0.41097,0.49768,0.68677,1.0437,0.94238,0.00106142,0.00106142,0.00106142
93,72.0787,0.52679,1.11929,0.6695,0.95151,0.90259,0.90427,0.97515,0.83673,0.49538,0.41667,0.47765,0.41097,0.49768,0.68677,1.0437,0.94238,0.00106803,0.00106803,0.00106803
94,72.8729,0.59022,1.16994,0.78626,1.03537,0.90259,0.90427,0.97515,0.83673,0.49538,0.41667,0.47765,0.41097,0.49768,0.68677,1.0437,0.94238,0.00107452,0.00107452,0.00107452
95,73.6037,0.51795,1.57975,0.66579,0.98768,0.90259,0.90427,0.97515,0.83673,0.49538,0.41667,0.47765,0.41097,0.49768,0.68677,1.0437,0.94238,0.0010809,0.0010809,0.0010809
96,74.3718,0.63119,1.09904,0.81484,1.0868,0.86735,0.88861,0.9772,0.91585,0.45528,0.42438,0.4797,0.42974,0.49371,0.62838,1.02467,0.92183,0.00108718,0.00108718,0.00108718
97,75.1873,0.57066,0.92945,0.70911,1.00053,0.86735,0.88861,0.9772,0.91585,0.45528,0.42438,0.4797,0.42974,0.49371,0.62838,1.02467,0.92183,0.00109334,0.00109334,0.00109334
98,75.9819,0.56532,1.01576,0.68813,0.97811,0.86735,0.88861,0.9772,0.91585,0.45528,0.42438,0.4797,0.42974,0.49371,0.62838,1.02467,0.92183,0.00109939,0.00109939,0.00109939
99,76.9523,0.56979,0.93948,0.70819,0.95521,0.86735,0.88861,0.9772,0.91585,0.45528,0.42438,0.4797,0.42974,0.49371,0.62838,1.02467,0.92183,0.00110533,0.00110533,0.00110533
100,77.8566,0.53495,0.92574,0.68233,0.95815,0.91255,0.9375,0.98772,0.91737,0.45626,0.41667,0.46515,0.38323,0.45975,1.08881,0.90824,0.91104,0.00111117,0.00111117,0.00111117
101,78.5768,0.59096,1.5877,0.70324,1.05707,0.91255,0.9375,0.98772,0.91737,0.45626,0.41667,0.46515,0.38323,0.45975,1.08881,0.90824,0.91104,0.00111689,0.00111689,0.00111689
102,79.3126,0.53212,0.73815,0.67051,0.98846,0.91255,0.9375,0.98772,0.91737,0.45626,0.41667,0.46515,0.38323,0.45975,1.08881,0.90824,0.91104,0.00111139,0.00111139,0.00111139
103,80.0787,0.60538,0.9705,0.71527,0.98998,0.91255,0.9375,0.98772,0.91737,0.45626,0.41667,0.46515,0.38323,0.45975,1.08881,0.90824,0.91104,0.00110589,0.00110589,0.00110589
104,80.8758,0.49879,1.03345,0.71046,0.95621,0.9238,0.99102,0.995,0.91461,0.5,0.49251,0.4975,0.41085,0.45028,0.95712,0.73087,0.90001,0.00110039,0.00110039,0.00110039
105,81.6266,0.53326,0.71908,0.67909,0.98035,0.9238,0.99102,0.995,0.91461,0.5,0.49251,0.4975,0.41085,0.45028,0.95712,0.73087,0.90001,0.00109489,0.00109489,0.00109489
106,82.3759,0.57101,0.7745,0.69769,1.00663,0.9238,0.99102,0.995,0.91461,0.5,0.49251,0.4975,0.41085,0.45028,0.95712,0.73087,0.90001,0.00108938,0.00108938,0.00108938
107,83.128,0.48657,0.79171,0.66763,0.9351,0.9238,0.99102,0.995,0.91461,0.5,0.49251,0.4975,0.41085,0.45028,0.95712,0.73087,0.90001,0.00108388,0.00108388,0.00108388
108,83.9005,0.53291,1.06174,0.69984,0.95321,0.99113,0.95067,0.99263,0.90533,0.46116,0.49484,0.49513,0.41295,0.47009,0.66137,0.68172,0.93164,0.00107838,0.00107838,0.00107838
109,84.6348,0.50287,0.6977,0.65813,0.92594,0.99113,0.95067,0.99263,0.90533,0.46116,0.49484,0.49513,0.41295,0.47009,0.66137,0.68172,0.93164,0.00107288,0.00107288,0.00107288
110,85.3948,0.54131,0.96159,0.66918,0.95072,0.99113,0.95067,0.99263,0.90533,0.46116,0.49484,0.49513,0.41295,0.47009,0.66137,0.68172,0.93164,0.00106738,0.00106738,0.00106738
111,86.1345,0.48799,0.78004,0.62986,0.95283,0.99113,0.95067,0.99263,0.90533,0.46116,0.49484,0.49513,0.41295,0.47009,0.66137,0.68172,0.93164,0.00106188,0.00106188,0.00106188
112,86.9511,0.58469,0.92972,0.63457,0.98203,0.98912,1,0.995,0.89778,0.4974,0.5,0.4975,0.42804,0.49279,0.55692,0.63949,0.93833,0.00105638,0.00105638,0.00105638
113,87.7142,0.56623,1.42147,0.76117,1.05265,0.98912,1,0.995,0.89778,0.4974,0.5,0.4975,0.42804,0.49279,0.55692,0.63949,0.93833,0.00105088,0.00105088,0.00105088
114,88.4529,0.49185,0.90099,0.66141,0.9661,0.98912,1,0.995,0.89778,0.4974,0.5,0.4975,0.42804,0.49279,0.55692,0.63949,0.93833,0.00104538,0.00104538,0.00104538
115,89.1754,0.53398,1.09894,0.65881,0.99621,0.98912,1,0.995,0.89778,0.4974,0.5,0.4975,0.42804,0.49279,0.55692,0.63949,0.93833,0.00103987,0.00103987,0.00103987
116,89.9444,0.50099,0.79644,0.66006,0.97295,0.98496,0.99666,0.995,0.90009,0.4984,0.5,0.4975,0.38719,0.47385,0.84283,0.62057,0.91402,0.00103437,0.00103437,0.00103437
